ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT
20710B05XL,54,M,"  1,425,390 ",4/20/2018
89602T51HX,47,M,"  1,678,954 ",6/8/2018
70190Z52IP,60,M,"  931,624 ",7/31/2017
25623V15MU,55,F,"  1,106,320 ",7/31/2017
36230I68CE,32,F,"  748,465 ",1/27/2019
11264G01HZ,48,F,"  1,051,927 ",11/24/2018
74250S23UO,26,F,"  1,076,402 ",9/22/2018
26735J66DB,45,F,"  1,481,949 ",4/5/2018
93404P60ED,55,M,"  1,725,607 ",1/2/2018
56557A36QV,64,F,"  312,323 ",4/23/2018
38353F50LZ,53,M,"  546,574 ",6/5/2019
54684T21RX,44,F,"  1,203,691 ",7/12/2017
46929E04HS,59,F,"  724,688 ",6/22/2019
20647X82EQ,27,F,"  975,130 ",3/5/2019
34956P25RT,57,F,"  1,422,399 ",4/14/2019
07090V20JQ,40,F,"  1,558,045 ",2/6/2018
78392T89DQ,33,M,"  669,737 ",5/31/2019
07257K04CB,57,F,"  774,593 ",12/31/2018
65658K80PS,59,F,"  993,201 ",3/5/2019
69803K32CS,42,F,"  1,050,793 ",10/21/2016
49525O29YH,40,M,"  1,598,014 ",3/18/2018
25740R14MI,63,M,"  776,801 ",7/25/2017
84250L43IB,47,F,"  1,435,495 ",4/5/2018
84258G83EV,28,F,"  787,934 ",10/20/2018
53254B39QD,55,F,"  1,867,421 ",4/5/2019
97021A36QC,40,F,"  1,005,643 ",6/24/2019
47560Z98KV,44,F,"  1,334,503 ",4/18/2018
73529T58NE,64,M,"  342,644 ",5/24/2018
30806A42VM,44,F,"  1,227,876 ",4/2/2019
00049S85RE,43,F,"  1,370,374 ",5/11/2019
26721D43SM,39,M,"  1,381,129 ",2/26/2017
82508W18LT,29,F,"  1,141,044 ",6/9/2019
80438M73AV,63,M,"  861,120 ",4/14/2019
67814A83LG,51,M,"  1,078,531 ",6/9/2018
87070V97ZO,33,F,"  886,139 ",5/24/2018
79093X41WL,45,F,"  881,137 ",5/27/2019
80170A41DA,58,M,"  1,807,736 ",9/9/2018
92814K57MF,35,M,"  1,010,476 ",5/15/2017
67811V23ZL,63,F,"  913,006 ",10/22/2017
49928Y38OE,62,F,"  916,758 ",2/10/2017
60766Z46OD,61,F,"  1,428,077 ",8/12/2018
65221A93PY,54,M,"  854,720 ",7/22/2018
67305F19BO,47,M,"  1,005,454 ",4/17/2018
11497L25KD,56,F,"  879,059 ",3/27/2019
06436U96WN,33,F,"  703,621 ",10/5/2018
00974O72DZ,59,F,"  742,484 ",2/26/2019
09160K49TY,52,F,"  1,920,738 ",3/31/2019
75377M96JT,43,F,"  1,406,605 ",5/5/2018
50391O52JL,27,F,"  910,269 ",6/4/2019
75750M01TD,40,M,"  1,214,651 ",3/17/2018
54602F44RW,62,F,"  1,673,206 ",2/5/2018
91724K12PZ,55,M,"  529,060 ",8/26/2017
38941M59JI,56,F,"  1,705,657 ",4/1/2019
17962B28AZ,62,F,"  1,593,162 ",4/4/2019
05397B07CK,54,F,"  1,437,312 ",9/21/2018
86848B08CQ,62,F,"  1,611,444 ",7/1/2018
22906W78AL,60,M,"  1,283,300 ",12/1/2018
45389F82KX,38,F,"  1,465,158 ",1/13/2019
68241U65JO,58,M,"  1,821,776 ",4/8/2018
43891X14RC,59,M,"  1,846,298 ",12/3/2018
34587D00DA,58,M,"  1,144,551 ",1/8/2019
88616I11UH,36,F,"  1,024,701 ",4/1/2019
49122J54NF,29,M,"  979,350 ",6/9/2018
61385H03VO,50,M,"  1,661,522 ",11/24/2018
58936R14SF,65,F,"  802,717 ",10/21/2018
86220V54VN,49,F,"  1,478,918 ",8/10/2018
63676E09UO,25,F,"  1,029,303 ",8/11/2017
75890J70NO,64,F,"  1,868,972 ",8/10/2018
68606C11GV,56,M,"  1,744,071 ",12/17/2018
56034R95VA,48,M,"  1,608,586 ",9/29/2018
68007O74VG,53,M,"  626,963 ",5/1/2018
72851J39QG,35,M,"  793,369 ",6/11/2018
67768Z35EO,60,F,"  493,015 ",9/28/2018
82032Y17OQ,53,M,"  921,829 ",7/4/2018
25932M56LL,58,F,"  1,071,450 ",8/6/2018
77296E81ZM,48,M,"  1,677,550 ",2/20/2019
00749K03FQ,46,M,"  1,421,375 ",12/2/2016
92419C68FB,65,F,"  665,345 ",6/28/2019
21589V78WG,56,M,"  535,036 ",8/13/2018
75360O80DW,39,M,"  1,579,580 ",9/12/2018
21179R01JX,47,M,"  1,318,882 ",11/9/2018
78827Q35LL,49,F,"  826,528 ",4/16/2018
93058B29OA,33,M,"  1,250,052 ",6/8/2018
