id,curr_age,gender,ann_income,dt_maint,age_car,income_bracket
20710B05XL,54,0,1425390.0,2018-04-20,437,High
89602T51HX,47,0,1678954.0,2018-06-08,388,High
70190Z52IP,60,0,931624.0,2017-07-31,700,Low
25623V15MU,55,1,1106320.0,2017-07-31,700,Medium
36230I68CE,32,1,748465.0,2019-01-27,155,Low
11264G01HZ,48,1,1051927.0,2018-11-24,219,Medium
74250S23UO,26,1,1076402.0,2018-09-22,282,Medium
26735J66DB,45,1,1481949.0,2018-04-05,452,High
93404P60ED,55,0,1725607.0,2018-01-02,545,High
56557A36QV,64,1,312323.0,2018-04-23,434,Low
38353F50LZ,53,0,546574.0,2019-06-05,26,Low
54684T21RX,44,1,1203691.0,2017-07-12,719,Medium
46929E04HS,59,1,724688.0,2019-06-22,9,Low
20647X82EQ,27,1,975130.0,2019-03-05,118,Medium
34956P25RT,57,1,1422399.0,2019-04-14,78,High
07090V20JQ,40,1,1558045.0,2018-02-06,510,High
78392T89DQ,33,0,669737.0,2019-05-31,31,Low
07257K04CB,57,1,774593.0,2018-12-31,182,Low
65658K80PS,59,1,993201.0,2019-03-05,118,Medium
69803K32CS,42,1,1050793.0,2016-10-21,983,Medium
49525O29YH,40,0,1598014.0,2018-03-18,470,High
25740R14MI,63,0,776801.0,2017-07-25,706,Low
84250L43IB,47,1,1435495.0,2018-04-05,452,High
84258G83EV,28,1,787934.0,2018-10-20,254,Low
53254B39QD,55,1,1867421.0,2019-04-05,87,High
97021A36QC,40,1,1005643.0,2019-06-24,7,Medium
47560Z98KV,44,1,1334503.0,2018-04-18,439,High
73529T58NE,64,0,342644.0,2018-05-24,403,Low
30806A42VM,44,1,1227876.0,2019-04-02,90,Medium
00049S85RE,43,1,1370374.0,2019-05-11,51,High
26721D43SM,39,0,1381129.0,2017-02-26,855,High
82508W18LT,29,1,1141044.0,2019-06-09,22,Medium
80438M73AV,63,0,861120.0,2019-04-14,78,Low
67814A83LG,51,0,1078531.0,2018-06-09,387,Medium
87070V97ZO,33,1,886139.0,2018-05-24,403,Low
79093X41WL,45,1,881137.0,2019-05-27,35,Low
80170A41DA,58,0,1807736.0,2018-09-09,295,High
92814K57MF,35,0,1010476.0,2017-05-15,777,Medium
67811V23ZL,63,1,913006.0,2017-10-22,617,Low
49928Y38OE,62,1,916758.0,2017-02-10,871,Low
60766Z46OD,61,1,1428077.0,2018-08-12,323,High
65221A93PY,54,0,854720.0,2018-07-22,344,Low
67305F19BO,47,0,1005454.0,2018-04-17,440,Medium
11497L25KD,56,1,879059.0,2019-03-27,96,Low
06436U96WN,33,1,703621.0,2018-10-05,269,Low
00974O72DZ,59,1,742484.0,2019-02-26,125,Low
09160K49TY,52,1,1920738.0,2019-03-31,92,High
75377M96JT,43,1,1406605.0,2018-05-05,422,High
50391O52JL,27,1,910269.0,2019-06-04,27,Low
75750M01TD,40,0,1214651.0,2018-03-17,471,Medium
54602F44RW,62,1,1673206.0,2018-02-05,511,High
91724K12PZ,55,0,529060.0,2017-08-26,674,Low
38941M59JI,56,1,1705657.0,2019-04-01,91,High
17962B28AZ,62,1,1593162.0,2019-04-04,88,High
05397B07CK,54,1,1437312.0,2018-09-21,283,High
86848B08CQ,62,1,1611444.0,2018-07-01,365,High
22906W78AL,60,0,1283300.0,2018-12-01,212,Medium
45389F82KX,38,1,1465158.0,2019-01-13,169,High
68241U65JO,58,0,1821776.0,2018-04-08,449,High
43891X14RC,59,0,1846298.0,2018-12-03,210,High
34587D00DA,58,0,1144551.0,2019-01-08,174,Medium
88616I11UH,36,1,1024701.0,2019-04-01,91,Medium
49122J54NF,29,0,979350.0,2018-06-09,387,Medium
61385H03VO,50,0,1661522.0,2018-11-24,219,High
58936R14SF,65,1,802717.0,2018-10-21,253,Low
86220V54VN,49,1,1478918.0,2018-08-10,325,High
63676E09UO,25,1,1029303.0,2017-08-11,689,Medium
75890J70NO,64,1,1868972.0,2018-08-10,325,High
68606C11GV,56,0,1744071.0,2018-12-17,196,High
56034R95VA,48,0,1608586.0,2018-09-29,275,High
68007O74VG,53,0,626963.0,2018-05-01,426,Low
72851J39QG,35,0,793369.0,2018-06-11,385,Low
67768Z35EO,60,1,493015.0,2018-09-28,276,Low
82032Y17OQ,53,0,921829.0,2018-07-04,362,Low
25932M56LL,58,1,1071450.0,2018-08-06,329,Medium
77296E81ZM,48,0,1677550.0,2019-02-20,131,High
00749K03FQ,46,0,1421375.0,2016-12-02,941,High
92419C68FB,65,1,665345.0,2019-06-28,3,Low
21589V78WG,56,0,535036.0,2018-08-13,322,Low
75360O80DW,39,0,1579580.0,2018-09-12,292,High
21179R01JX,47,0,1318882.0,2018-11-09,234,Medium
78827Q35LL,49,1,826528.0,2018-04-16,441,Low
93058B29OA,33,0,1250052.0,2018-06-08,388,Medium
57288I36BN,28,1,718407.0,2019-05-27,35,Low
24427C44HL,60,0,1099822.0,2019-01-30,152,Medium
57769A43WJ,50,0,1444567.0,2018-03-10,478,High
55244P21JL,45,1,1383743.0,2018-03-12,476,High
10878C69QP,60,1,1274520.0,2018-10-01,273,Medium
00100T87PV,50,1,1555386.0,2018-02-07,509,High
10657V33HY,36,0,1779657.0,2017-01-04,908,High
35568Z72YA,46,1,1568521.0,2018-07-02,364,High
76439P77YY,28,0,1220202.0,2018-10-27,247,Medium
05814Y15VO,37,1,843116.0,2018-06-01,395,Low
96427W84TS,29,1,1011093.0,2019-06-14,17,Medium
95829F20IU,54,1,1751467.0,2018-09-22,282,High
78491J25YN,50,1,1481056.0,2018-03-09,479,High
08349R64SN,51,1,1023285.0,2018-10-26,248,Medium
77707I89CB,42,1,1008314.0,2018-05-30,397,Medium
01439E69TI,37,1,946545.0,2017-03-08,845,Medium
37023S20ZM,46,1,1362399.0,2018-09-18,286,High
08736E08DD,30,0,1365515.0,2018-02-01,515,High
83877U15TB,42,1,1157465.0,2018-04-20,437,Medium
65904G65YK,34,0,768129.0,2018-09-04,300,Low
61214G80ZN,55,1,879113.0,2019-03-04,119,Low
85691K09NH,40,1,897965.0,2019-01-19,163,Low
84131A41RV,47,0,1185438.0,2019-03-13,110,Medium
34686I34DX,50,1,893051.0,2018-12-06,207,Low
49913C08MC,25,0,1477919.0,2018-07-03,363,High
45447H02JK,28,1,645555.0,2016-10-07,997,Low
96590B86BM,60,0,616767.0,2017-02-17,864,Low
11291R80DZ,41,1,1378658.0,2019-03-06,117,High
37189N42UN,29,0,1493909.0,2019-02-24,127,High
70335V50SH,55,1,1080001.0,2019-05-19,43,Medium
05274S84AQ,46,1,1039901.0,2018-07-03,363,Medium
06133O40VE,60,0,1779440.0,2018-08-29,306,High
57289T50EW,61,1,1878164.0,2018-02-25,491,High
73937S12OW,52,1,847439.0,2018-09-03,301,Low
89927G30NR,56,1,1234943.0,2017-10-07,632,Medium
31470X06BS,54,0,670864.0,2017-09-21,648,Low
57578P16IZ,35,0,638483.0,2019-05-05,57,Low
98708I08VX,47,0,1727612.0,2018-05-21,406,High
36958P04EX,54,1,907788.0,2018-09-24,280,Low
53758C39CR,48,1,1082487.0,2017-02-15,866,Medium
99157G28PR,62,1,1170677.0,2019-04-18,74,Medium
87076V59OJ,25,0,620180.0,2018-08-23,312,Low
76764B06UP,47,0,1761085.0,2019-04-07,85,High
27675L93OS,63,0,1661463.0,2019-06-06,25,High
69692I70LT,35,0,699810.0,2018-12-13,200,Low
46154W39MF,59,0,1614879.0,2018-11-20,223,High
52381S90GM,52,0,539135.0,2019-01-25,157,Low
10457N39YE,62,1,565738.0,2018-11-13,230,Low
40731K15FZ,46,1,1182844.0,2018-11-17,226,Medium
06173N47SN,38,0,1491178.0,2018-12-10,203,High
18532K46RW,62,0,1389961.0,2017-11-20,588,High
18976W76SJ,29,1,1118045.0,2018-11-26,217,Medium
97566A37BR,47,1,1241037.0,2019-02-03,148,Medium
68707E12OX,34,1,1177567.0,2018-09-18,286,Medium
30931S34VN,64,1,1497818.0,2019-04-25,67,High
69546Q66TX,34,0,1442841.0,2017-02-09,872,High
59999L00PL,26,1,1149955.0,2017-11-20,588,Medium
05678X36FB,50,0,1729710.0,2018-04-17,440,High
53776P44MZ,50,1,842591.0,2016-11-03,970,Low
42983W11JW,32,0,728377.0,2018-10-01,273,Low
20545D80RB,61,0,772565.0,2017-08-04,696,Low
11046E28HA,54,1,1550310.0,2019-03-12,111,High
93609N63NP,60,1,1993500.0,2019-06-19,12,High
80643O81AC,31,1,989465.0,2019-01-01,181,Medium
00393E86UP,41,1,1532052.0,2019-04-03,89,High
46408E72XM,45,0,1847655.0,2018-01-23,524,High
27402X64HA,53,0,1850319.0,2018-09-22,282,High
05626Y20CY,55,1,396146.0,2018-07-15,351,Low
93004L90PZ,63,1,965953.0,2016-11-11,962,Medium
98443X71XZ,52,0,1295563.0,2018-03-15,473,Medium
25775Y84LZ,29,0,1061035.0,2017-04-16,806,Medium
