id,curr_age,gender,ann_income,age_car,purchase,income_bracket
00001Q15YJ,50,0,445344.0,439,0,High
00003I71CQ,35,0,107634.0,283,0,Low
00003N47FS,59,1,502787.0,390,1,High
00005H41DE,43,0,585664.0,475,0,High
00007E17UM,39,1,705723.0,497,1,High
00007I26OR,28,1,389995.0,443,1,Medium
00015B11UO,54,0,85056.0,425,0,Low
00020K99TA,28,1,453584.0,173,0,High
00020W72QC,25,1,324575.0,300,0,Medium
00022F48XA,47,0,363206.0,474,1,Medium
00026X43XZ,61,0,292983.0,210,0,Medium
00031Q27QZ,33,1,438941.0,100,1,High
00032B38ZX,50,0,478445.0,329,1,High
00033C02IM,25,0,277729.0,430,1,Medium
00034P01OK,45,0,385604.0,492,1,Medium
00038B31VO,51,1,159413.0,585,1,Low
00039X03RX,25,0,227439.0,23,0,Low
00040B49KN,43,0,572440.0,356,0,High
00040O73KD,35,0,240251.0,536,1,Low
00045U73GK,58,1,205192.0,876,1,Low
00049M22HG,35,0,108590.0,400,0,Low
00052E59WH,53,1,436709.0,510,1,High
00056R56IH,53,1,370768.0,96,0,Medium
00057N31MO,30,1,396397.0,285,1,Medium
00059Q04KC,49,1,458992.0,265,0,High
00061K54RB,43,0,485917.0,273,1,High
00062R49DY,37,0,361216.0,243,0,Medium
00067S81IY,26,1,341240.0,377,0,Medium
00069Q75MB,35,1,277725.0,106,0,Medium
00069R58QN,51,0,607229.0,485,0,High
00070L09VD,40,0,328247.0,336,0,Medium
00073G60ML,64,1,358005.0,426,1,Medium
00074E80ZM,59,0,450981.0,258,1,High
00078B50YA,34,1,216371.0,231,0,Low
00083A72KE,50,1,730685.0,406,1,High
00085N14CA,34,0,146852.0,357,0,Low
00086Y65GU,65,1,420083.0,666,0,Medium
00088T31UB,51,1,131949.0,783,1,Low
00090Q78CZ,62,1,136267.0,390,0,Low
00091B82ZO,65,1,409160.0,228,1,Medium
00093J67SK,52,0,256962.0,139,0,Low
00095Q17AL,25,1,365515.0,236,0,Medium
00099K86CW,62,0,682251.0,344,0,High
00101P10AC,47,0,184303.0,385,1,Low
00104R23KJ,41,1,366200.0,370,1,Medium
00105P34KP,39,0,793683.0,943,1,High
00105Z55XB,28,1,134835.0,313,0,Low
00107Y54OB,27,0,192229.0,805,1,Low
00108X61TB,29,0,218007.0,431,1,Low
00111A34ML,42,0,442952.0,213,0,High
00113N53ZL,59,0,669568.0,276,1,High
00115C31GT,25,1,387785.0,477,1,Medium
00118J08EC,47,1,275520.0,304,0,Medium
00122X31AB,58,1,401832.0,225,0,Medium
00124L11WJ,50,0,576933.0,132,1,High
00126P38RZ,59,0,396243.0,95,1,Medium
00127P24GO,37,0,234791.0,277,1,Low
00129H75QI,58,1,311133.0,430,1,Medium
00130C94GP,33,0,296322.0,220,0,Medium
00137X41CD,49,0,363144.0,388,1,Medium
00139F51QE,46,0,315221.0,263,1,Medium
00140V89YT,36,0,779277.0,489,1,High
00141I56XV,40,1,292216.0,205,0,Medium
00142J61TJ,37,1,453501.0,95,0,High
00149E58QC,40,0,197281.0,436,1,Low
00149V45IO,27,0,248446.0,640,1,Low
00152W66MO,36,1,419744.0,93,0,Medium
00163W34YW,52,1,380120.0,407,1,Medium
00166U36NR,26,1,146413.0,202,0,Low
00172I72UL,61,0,529399.0,850,1,High
00173Q33YX,60,1,150611.0,315,1,Low
00174P76OQ,59,0,737673.0,525,1,High
00177D07HX,61,1,366653.0,748,0,Medium
00184X69JT,42,0,397493.0,241,1,Medium
00186P04PT,33,0,292406.0,323,0,Medium
00187N85DF,63,1,331237.0,433,1,Medium
00188E43DF,60,0,240020.0,258,1,Low
00189M02HG,64,0,121018.0,311,0,Low
00191S39KZ,46,0,373478.0,367,1,Medium
00195G41IU,32,1,384016.0,272,1,Medium
00195P25IN,30,1,213547.0,230,0,Low
00195Q10ZP,35,0,257308.0,40,0,Low
00197O44XP,34,0,282501.0,823,1,Medium
00198D05HX,51,1,252155.0,240,0,Low
00198H12HX,57,0,480760.0,899,1,High
00198H71BB,26,0,132599.0,436,0,Low
00201E56ZV,64,1,153181.0,275,0,Low
00202X22MN,53,1,431624.0,296,0,High
00205O79UQ,38,0,498894.0,296,1,High
00209O01CF,65,1,97627.0,468,1,Low
00213H22RL,37,0,324297.0,301,1,Medium
00214G18BG,49,1,547755.0,296,1,High
00214H08FS,31,1,405807.0,353,0,Medium
00218H09KC,65,1,159648.0,830,1,Low
00218V46WS,62,1,105133.0,311,0,Low
00221E71ZX,49,0,298254.0,266,1,Medium
00222P84OU,36,1,282392.0,462,1,Medium
00223L77HZ,63,0,414729.0,595,1,Medium
00226J79YI,59,0,412753.0,198,0,Medium
00227R80JC,47,0,398253.0,327,1,Medium
00228R68ZE,43,1,525024.0,479,1,High
00228Z35MR,43,0,405642.0,201,0,Medium
00230U63RP,54,1,92864.0,78,1,Low
00232B56RM,55,1,308715.0,317,0,Medium
00237O77NS,31,1,357850.0,480,1,Medium
00250P24JI,45,0,352042.0,94,1,Medium
00251B45QQ,62,1,407427.0,373,0,Medium
