id,curr_age,gender,ann_income,dt_maint,age_car,income_bracket,purchasing_probability_pct,pur_prediction
20710B05XL,54,0,1425390.0,2018-04-20,437,High,72.93,0
89602T51HX,47,0,1678954.0,2018-06-08,388,High,75.37,1
70190Z52IP,60,0,931624.0,2017-07-31,700,Low,82.11,1
25623V15MU,55,1,1106320.0,2017-07-31,700,Medium,82.27,1
36230I68CE,32,1,748465.0,2019-01-27,155,Low,29.88,0
11264G01HZ,48,1,1051927.0,2018-11-24,219,Medium,38.93,0
74250S23UO,26,1,1076402.0,2018-09-22,282,Medium,51.8,0
26735J66DB,45,1,1481949.0,2018-04-05,452,High,72.87,0
93404P60ED,55,0,1725607.0,2018-01-02,545,High,85.0,1
56557A36QV,64,1,312323.0,2018-04-23,434,Low,38.77,0
38353F50LZ,53,0,546574.0,2019-06-05,26,Low,16.79,0
54684T21RX,44,1,1203691.0,2017-07-12,719,Medium,86.18,1
46929E04HS,59,1,724688.0,2019-06-22,9,Low,14.5,0
20647X82EQ,27,1,975130.0,2019-03-05,118,Medium,32.64,0
34956P25RT,57,1,1422399.0,2019-04-14,78,High,31.87,0
07090V20JQ,40,1,1558045.0,2018-02-06,510,High,79.58,1
78392T89DQ,33,0,669737.0,2019-05-31,31,Low,22.43,0
07257K04CB,57,1,774593.0,2018-12-31,182,Low,27.26,0
65658K80PS,59,1,993201.0,2019-03-05,118,Medium,25.95,0
69803K32CS,42,1,1050793.0,2016-10-21,983,Medium,94.25,1
49525O29YH,40,0,1598014.0,2018-03-18,470,High,81.05,1
25740R14MI,63,0,776801.0,2017-07-25,706,Low,79.58,1
84250L43IB,47,1,1435495.0,2018-04-05,452,High,71.5,0
84258G83EV,28,1,787934.0,2018-10-20,254,Low,41.15,0
53254B39QD,55,1,1867421.0,2019-04-05,87,High,43.77,0
97021A36QC,40,1,1005643.0,2019-06-24,7,Medium,21.49,0
47560Z98KV,44,1,1334503.0,2018-04-18,439,High,68.9,0
73529T58NE,64,0,342644.0,2018-05-24,403,Low,41.27,0
30806A42VM,44,1,1227876.0,2019-04-02,90,Medium,31.7,0
00049S85RE,43,1,1370374.0,2019-05-11,51,High,31.54,0
26721D43SM,39,0,1381129.0,2017-02-26,855,High,94.53,1
82508W18LT,29,1,1141044.0,2019-06-09,22,Medium,27.32,0
80438M73AV,63,0,861120.0,2019-04-14,78,Low,23.64,0
67814A83LG,51,0,1078531.0,2018-06-09,387,Medium,61.4,0
87070V97ZO,33,1,886139.0,2018-05-24,403,Low,57.67,0
79093X41WL,45,1,881137.0,2019-05-27,35,Low,20.45,0
80170A41DA,58,0,1807736.0,2018-09-09,295,High,67.78,0
92814K57MF,35,0,1010476.0,2017-05-15,777,Medium,89.95,1
67811V23ZL,63,1,913006.0,2017-10-22,617,Low,71.25,0
49928Y38OE,62,1,916758.0,2017-02-10,871,Low,87.88,1
60766Z46OD,61,1,1428077.0,2018-08-12,323,High,55.59,0
65221A93PY,54,0,854720.0,2018-07-22,344,Low,50.66,0
67305F19BO,47,0,1005454.0,2018-04-17,440,Medium,65.79,0
11497L25KD,56,1,879059.0,2019-03-27,96,Low,22.73,0
06436U96WN,33,1,703621.0,2018-10-05,269,Low,39.32,0
00974O72DZ,59,1,742484.0,2019-02-26,125,Low,21.88,0
09160K49TY,52,1,1920738.0,2019-03-31,92,High,46.42,0
75377M96JT,43,1,1406605.0,2018-05-05,422,High,69.17,0
50391O52JL,27,1,910269.0,2019-06-04,27,Low,23.69,0
75750M01TD,40,0,1214651.0,2018-03-17,471,Medium,74.45,0
54602F44RW,62,1,1673206.0,2018-02-05,511,High,77.65,1
91724K12PZ,55,0,529060.0,2017-08-26,674,Low,74.3,0
38941M59JI,56,1,1705657.0,2019-04-01,91,High,39.94,0
17962B28AZ,62,1,1593162.0,2019-04-04,88,High,35.47,0
05397B07CK,54,1,1437312.0,2018-09-21,283,High,53.55,0
86848B08CQ,62,1,1611444.0,2018-07-01,365,High,63.98,0
22906W78AL,60,0,1283300.0,2018-12-01,212,Medium,46.15,0
